,fips,NatWalkInd,TotPop,ResidentialDensity,PopulationDensity,EmploymentDensity,PctLowWage,County,State
1707,37075,3.9166666665000003,8557,0.0956223375,0.147964213,0.018526237,0.28319913775,Graham,NC
1708,37077,4.666666667,58874,0.098139787,0.232451419,0.056063934,0.2360844114375,Granville,NC
1709,37079,4.0,21008,0.052482093,0.148238564,0.005750353,0.26537125853846155,Greene,NC
1710,37081,7.5,523582,1.6970481885000002,3.7528106694999996,0.8308114395,0.27446398245890413,Guilford,NC
1711,37083,5.5,51737,0.193198229,0.390556228,0.059879575,0.2727711242352941,Halifax,NC
1712,37085,5.166666667,130361,0.158436916,0.409061109,0.057655967,0.2708309566557377,Harnett,NC
1713,37087,6.166666667,60433,0.227985428,0.433920749,0.0465295685,0.24943338337499998,Haywood,NC
1714,37089,6.333333333,113625,0.4559615105,0.9227912540000001,0.1259323145,0.2559251422083333,Henderson,NC
1715,37091,4.833333333,24153,0.074814877,0.200790595,0.057273766,0.2960537825789474,Hertford,NC
1716,37093,4.5,53239,0.3423236,0.805314527,0.036251427,0.27187592852000003,Hoke,NC
1717,37095,3.75,5393,0.010459483,0.020573696500000002,0.0029861914999999998,0.22401436416666667,Hyde,NC
1718,37097,5.666666667,172525,0.29944218749999996,0.699601397,0.13698466050000002,0.23825035213392856,Iredell,NC
1719,37099,5.5,42256,0.148943497,0.23758480249999997,0.042139117000000004,0.25533465173076925,Jackson,NC
1720,37101,5.75,191172,0.1813233355,0.49915729200000003,0.0785058665,0.24164826638095235,Johnston,NC
1721,37103,4.333333333,9695,0.016017074,0.035482664,0.003939972,0.26046683285714284,Jones,NC
1722,37105,6.0,60125,0.238368106,0.666599216,0.181841272,0.25309081083783785,Lee,NC
1723,37107,6.0,57227,0.128116182,0.243526628,0.11747185,0.28096971423404254,Lenoir,NC
1724,37109,4.833333333,81441,0.2207626835,0.5239817585,0.061055736,0.20991070522000002,Lincoln,NC
1725,37111,5.166666667,45109,0.116869198,0.273716234,0.0478405,0.24749352422580645,McDowell,NC
1726,37113,5.916666666499999,34410,0.1845953435,0.22614600499999998,0.0467877215,0.2858407734642857,Macon,NC
1727,37115,4.083333333500001,21405,0.054038004,0.110333443,0.016382690999999998,0.2423605825625,Madison,NC
1728,37117,4.666666667,23054,0.053748665,0.120038409,0.023317854,0.3080656180952381,Martin,NC
1729,37119,11.16666667,1054314,1.927328215,4.576392366,0.917034943,0.2261526394882883,Mecklenburg,NC
1730,37121,5.75,15040,0.06836999299999999,0.142370781,0.041430323500000005,0.2605912949285714,Mitchell,NC
1731,37123,4.583333333500001,27338,0.07642388650000001,0.12215622949999999,0.047172431,0.2629618935909091,Montgomery,NC
1732,37125,5.833333333,95629,0.190889858,0.367587905,0.072836225,0.270482770122807,Moore,NC
1733,37127,6.666666667,94003,0.234211993,0.613220566,0.078912088,0.2649598819538462,Nash,NC
1734,37129,11.16666667,224231,1.703449086,3.5838830765000003,0.8908057819999999,0.27233367993333335,New Hanover,NC
1735,37131,3.833333333,20186,0.0312946645,0.058540516,0.0123568405,0.27426658422727274,Northampton,NC
1736,37133,5.5,193912,0.542887973,1.280092657,0.08934215849999999,0.29660729960416665,Onslow,NC
1737,37135,10.83333333,142938,0.705733858,2.500307268,0.43130228,0.21426838832,Orange,NC
1738,37137,4.666666667,12742,0.03284699,0.065065688,0.009913473,0.2657522386153846,Pamlico,NC
1739,37139,8.5,39479,0.3085006925,0.6726518285,0.20693921799999998,0.30041092123076923,Pasquotank,NC
1740,37141,6.083333333500001,59020,0.0667658035,0.1551994115,0.054968962499999996,0.25787886665625,Pender,NC
1741,37143,3.8333333329999997,13459,0.046243285999999995,0.092041781,0.005925985,0.23011057383333333,Perquimans,NC
1742,37145,5.0,39305,0.0917324215,0.2247605465,0.0266033035,0.24542765246153844,Person,NC
1743,37147,6.666666667,177372,0.666049975,1.9273116005,0.18393933299999998,0.28256027516666665,Pitt,NC
1744,37149,5.75,20458,0.11808402750000001,0.18514601549999998,0.027133847500000002,0.27024070866666666,Polk,NC
1745,37151,5.0,142958,0.184654386,0.4294360845,0.0826999335,0.23233572426744187,Randolph,NC
1746,37153,6.0,45189,0.267835734,0.705654233,0.072213352,0.28776916287804877,Richmond,NC
1747,37155,4.5,133442,0.11672760900000001,0.28728265750000004,0.029045038000000002,0.28040011368181816,Robeson,NC
1748,37157,4.833333333,91270,0.150914988,0.320684288,0.064713885,0.24715143092753622,Rockingham,NC
1749,37159,5.666666667,139605,0.3372749605,0.8430835925,0.1381632735,0.2581890169255319,Rowan,NC
1750,37161,5.583333333500001,66532,0.162869974,0.3234599655,0.0362957615,0.2690521567307692,Rutherford,NC
1751,37163,4.833333333,63561,0.053761188,0.118771878,0.017701983,0.2569846444,Sampson,NC
1752,37165,5.5,35262,0.216092362,0.450266856,0.091861613,0.28596457548148146,Scotland,NC
1753,37167,5.583333333500001,61114,0.11287395550000001,0.2718943225,0.0825682675,0.2362243708478261,Stanly,NC
1754,37169,4.0,45905,0.086807516,0.2049904,0.013994456,0.2222588903548387,Stokes,NC
1755,37171,5.666666667,72099,0.114848506,0.254272986,0.067034617,0.25705175883050846,Surry,NC
1756,37173,5.166666666499999,14254,0.092368919,0.1346952705,0.0177543155,0.26677164033333334,Swain,NC
1757,37175,5.833333333,33513,0.192564016,0.314697267,0.040744962,0.26662988428,Transylvania,NC
1758,37177,4.0,4119,0.032483024,0.075759459,0.002826845,0.2301703776,Tyrrell,NC
1759,37179,6.166666667,226694,0.370319684,1.121502814,0.183500768,0.21763413458252429,Union,NC
1760,37181,6.166666667,44482,0.318983341,0.689430104,0.196412238,0.29871229393939397,Vance,NC
1761,37183,10.0,1046558,1.704446617,4.180771401,0.724684398,0.21246548624175826,Wake,NC
1762,37185,3.5,20033,0.052642834,0.088045715,0.012215524,0.28299646106666665,Warren,NC
1763,37187,4.0,12156,0.0431889,0.08995305,0.014148221,0.300342226,Washington,NC
